playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8473962,2013,Teddy Purcell,T.B,L,other,4,244.0,5.0,0.37,0.14,0.77,0.6,0.72,0.5,0.56,13.0,0.7,0.11,0.08,0.08,0.02,0.58,0.12,0.11,0.11,0.11,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.11,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.02,0.0,0.0,0.14,0.14,0.13,5.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,469.0,0.0,0.0,0.0,0.0,1.33,0.16,0.16,0.16,0.16,1.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.05,0.11,0.0,0.0,1.0,0.0,3.0,2.0,2.0,0.04,0.0,0.0,0.21,0.21,0.2,1.01,1.0,0.75,1.0,0.75,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.01,0.0,0.0,1.01,1.01,0.76,0.4,0.12,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8473962,2013,Teddy Purcell,T.B,L,all,4,3726.0,82.0,0.47,0.45,0.42,0.46,0.47,0.44,0.44,29.0,6.57,0.91,0.4,1.29,0.2,3.54,2.66,0.91,0.91,0.9,0.0,0.0,9.0,0.0,3.0,12.0,1.0,1.0,0.0,0.0,3.0,0.0,3.0,2.0,8.0,8.0,0.0,0.0,0.0,2.0,2.0,1.0,6.0,2.0,1.0,0.2,0.3,0.41,0.0,1.0,0.0,11.58,9.0,8.68,0.0,0.09,0.0,0.0,1.01,1.0,0.99,82.0,14.0,12.0,17.0,39.0,14.0,14.0,14.0,40.0,0.0,0.0,11762.0,0.0,0.0,0.0,0.0,27.5,2.82,2.75,2.79,2.73,31.0,7.0,12.0,50.0,1.0,3.0,0.0,27.0,8.0,3.0,0.82,1.08,0.92,0.0,1.0,0.0,48.34,38.0,36.75,0.41,0.51,0.51,2.71,2.68,2.66,34.96,3.47,3.15,3.55,3.23,31.0,18.0,10.0,59.0,2.0,2.0,0.0,37.0,9.0,3.0,1.16,1.06,1.24,2.0,0.0,0.0,62.01,49.0,51.19,0.51,0.28,0.28,3.69,3.78,3.5,6.79,9.31,169.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0
8473962,2013,Teddy Purcell,T.B,L,5on5,4,3285.0,75.0,0.47,0.47,0.42,0.44,0.49,0.41,0.46,26.0,5.06,0.39,0.28,1.12,0.15,2.69,2.38,0.39,0.38,0.38,0.0,0.0,7.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,7.0,7.0,0.0,0.0,0.0,2.0,2.0,1.0,6.0,1.0,0.0,0.2,0.19,0.0,0.0,0.0,0.0,8.58,7.0,6.68,0.0,0.06,0.0,0.0,0.44,0.43,0.43,75.0,10.0,12.0,16.0,37.0,13.0,14.0,13.0,35.0,0.0,0.0,9641.0,0.0,0.0,0.0,0.0,23.9,2.15,2.09,2.12,2.06,27.0,6.0,11.0,44.0,0.0,3.0,0.0,25.0,6.0,2.0,0.76,0.88,0.5,0.0,0.0,0.0,42.34,33.0,31.75,0.32,0.51,0.51,1.96,1.93,1.92,33.95,2.47,2.4,2.55,2.48,31.0,16.0,10.0,57.0,2.0,2.0,0.0,37.0,9.0,1.0,1.16,1.06,0.24,2.0,0.0,0.0,60.01,47.0,49.19,0.5,0.28,0.28,2.68,2.77,2.75,4.76,6.66,147.0,154.0,0.21,0.0,2.0,0.0,2.0,0.0
8473962,2013,Teddy Purcell,T.B,L,4on5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8473962,2013,Teddy Purcell,T.B,L,5on4,4,197.0,2.0,0.62,1.0,1.0,1.0,1.0,1.0,1.0,15.0,0.81,0.41,0.04,0.09,0.02,0.27,0.17,0.41,0.41,0.41,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.41,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.02,0.0,0.0,0.43,0.43,0.43,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,188.0,0.0,0.0,0.0,0.0,1.55,0.42,0.42,0.42,0.42,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.01,0.0,0.41,0.0,0.0,0.0,2.0,2.0,2.0,0.03,0.0,0.0,0.44,0.44,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8466142,2013,Eric Brewer,T.B,D,other,4,187.0,3.0,0.17,0.61,0.28,0.57,0.75,0.4,0.63,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,526.0,0.0,0.0,0.0,0.0,1.7,0.17,0.17,0.17,0.17,2.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.01,0.16,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.02,0.0,0.0,0.19,0.19,0.19,2.36,0.11,0.11,0.11,0.11,3.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.02,0.0,0.0,0.13,0.13,0.13,0.39,1.01,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8466142,2013,Eric Brewer,T.B,D,all,4,5228.0,113.0,-0.08,0.42,0.43,0.45,0.48,0.42,0.45,13.0,3.21,0.11,0.21,0.75,0.1,2.34,1.5,0.1,0.1,0.1,0.0,0.0,3.0,2.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,5.0,0.0,0.0,0.0,10.0,0.0,2.0,5.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,11.46,5.0,4.84,2.0,0.04,0.0,0.0,0.15,0.14,0.14,113.0,9.0,20.0,21.0,63.0,9.0,15.0,20.0,69.0,0.0,0.0,10260.0,0.0,0.0,0.0,7.0,39.86,3.1,3.07,2.99,2.97,38.0,17.0,21.0,76.0,2.0,1.0,1.0,42.0,13.0,0.0,1.35,1.75,0.0,0.0,2.0,0.0,72.95,55.0,52.96,0.52,0.16,0.16,3.46,3.35,3.32,52.88,4.22,4.13,4.34,4.24,48.0,27.0,17.0,92.0,5.0,3.0,0.0,59.0,13.0,3.0,1.73,1.41,1.08,2.0,1.0,2.0,95.72,75.0,77.93,0.78,0.31,0.31,4.69,4.82,4.77,6.51,8.55,143.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0
8466142,2013,Eric Brewer,T.B,D,5on5,4,4344.0,96.0,-0.08,0.47,0.4,0.48,0.47,0.45,0.45,11.0,3.21,0.11,0.21,0.75,0.1,2.34,1.5,0.1,0.1,0.1,0.0,0.0,3.0,2.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,5.0,0.0,0.0,0.0,9.0,0.0,1.0,5.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,11.46,5.0,4.84,1.0,0.04,0.0,0.0,0.15,0.14,0.14,96.0,8.0,11.0,21.0,56.0,9.0,13.0,17.0,57.0,0.0,0.0,8582.0,0.0,0.0,0.0,7.0,37.44,2.84,2.81,2.73,2.71,35.0,17.0,18.0,70.0,2.0,1.0,1.0,41.0,11.0,0.0,1.33,1.5,0.0,0.0,2.0,0.0,66.95,52.0,49.96,0.49,0.16,0.16,3.17,3.05,3.02,44.94,3.14,3.06,3.26,3.18,40.0,23.0,14.0,77.0,4.0,3.0,0.0,50.0,11.0,2.0,1.48,1.21,0.45,2.0,1.0,1.0,80.72,63.0,65.93,0.63,0.31,0.31,3.47,3.6,3.56,4.07,5.99,121.0,134.0,0.01,0.0,2.0,1.0,1.0,0.0
8466142,2013,Eric Brewer,T.B,D,4on5,4,697.0,14.0,-0.08,0.0,0.36,0.08,0.17,0.0,0.2,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,9.0,0.0,5.0,0.0,2.0,2.0,10.0,0.0,0.0,590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.58,0.97,0.96,0.97,0.96,5.0,4.0,3.0,12.0,1.0,0.0,0.0,6.0,2.0,1.0,0.15,0.2,0.62,0.0,0.0,1.0,12.0,9.0,9.0,0.12,0.0,0.0,1.09,1.09,1.07,0.69,1.21,3.0,15.0,0.1,0.0,1.0,0.0,1.0,0.0
8466142,2013,Eric Brewer,T.B,D,5on4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
