Season,"Finish (incl. playoffs)","Start (reg. season)"
2008,2009-06-12,2008-10-04
2009,2010-06-09,2009-10-01
2010,2011-06-15,2010-10-07
2011,2012-06-11,2011-10-06
2012,2013-06-24,2012-01-19
2013,2014-06-13,2013-10-01
2014,2015-06-15,2014-10-08
2015,2016-06-12,2015-10-07
2016,2017-06-11,2016-10-12
2017,2018-06-07,2017-10-04
2018,2019-06-12,2018-10-03
2019,2020-09-28,2019-10-02
2020,2021-07-07,2020-01-13
2021,2022-06-26,2021-10-12
2022,2023-06-13,2022-10-07
2023,2024-06-24,2023-10-10
