,playerId,action_season,action_date,prediction,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,weight,age_in_days,height_inches
0,8477456,2023,2023-06-28,588.6047,82.0,101060.0,2073.0,54.76,0.51,0.52,0.52,0.53,0.52,0.52,279.0,146.6,18.6,12.42,31.77,5.34,84.38,56.5,17.75,18.85,17.99,22.0,13.0,154.0,55.0,46.0,255.0,52.0,17.0,13.0,4.0,32.0,10.0,70.0,67.0,137.0,192.0,15.0,33.0,813.0,37.0,28.0,28.0,134.0,54.0,21.0,5.29,6.96,6.34,5.0,7.0,5.0,256.41,209.0,210.65,5.0,2.93,2.26,3.21,18.31,18.46,17.86,2073.0,350.0,408.0,286.0,1029.0,259.0,213.0,314.0,1287.0,813.0,852.0,198746.0,33.0,35.0,16.0,82.0,934.0,99.67,95.72,100.59,96.62,977.0,342.0,431.0,1750.0,103.0,73.0,11.0,967.0,249.0,103.0,29.39,30.4,39.89,31.0,29.0,43.0,1769.48,1319.0,1331.43,15.74,16.31,16.31,99.12,99.86,97.03,859.16,95.28,89.37,94.83,88.94,881.0,314.0,401.0,1596.0,80.0,82.0,11.0,870.0,214.0,111.0,25.4,26.39,43.48,23.0,24.0,33.0,1581.03,1195.0,1185.13,14.08,19.83,19.83,89.53,89.07,86.49,163.72,150.55,3254.0,2929.0,193.0,10308.0,72.0
1,8477429,2023,2023-06-28,546.5899,82.0,89323.0,1826.0,29.25,0.43,0.5,0.43,0.49,0.42,0.5,254.0,119.16,13.62,8.36,27.0,4.22,59.68,49.12,12.16,13.63,12.15,23.0,10.0,120.0,42.0,42.0,204.0,42.0,9.0,12.0,1.0,21.0,3.0,48.0,69.0,111.0,153.0,11.0,25.0,647.0,32.0,26.0,44.0,107.0,38.0,17.0,3.21,4.76,5.65,3.0,3.0,3.0,203.59,162.0,161.55,20.0,1.89,2.66,4.9,10.61,10.58,10.23,1826.0,234.0,344.0,320.0,928.0,250.0,207.0,262.0,1107.0,647.0,652.0,209672.0,25.0,23.0,10.0,45.0,618.64,64.97,61.44,64.92,61.41,614.0,244.0,313.0,1171.0,66.0,52.0,7.0,638.0,151.0,69.0,18.79,18.46,27.72,33.0,15.0,18.0,1166.18,858.0,855.28,9.39,13.58,13.58,60.78,60.71,59.3,835.97,86.84,82.06,87.12,82.31,815.0,347.0,359.0,1521.0,83.0,76.0,13.0,837.0,232.0,93.0,25.05,28.78,33.0,29.0,27.0,27.0,1528.8,1162.0,1167.11,13.94,15.41,15.4,85.39,85.59,81.93,163.66,160.5,3118.0,3291.0,206.0,10582.0,73.0
2,8479337,2023,2023-06-28,641.01556,82.0,93511.0,1844.0,68.13,0.6,0.47,0.59,0.48,0.59,0.48,289.0,255.18,28.32,19.2,55.73,8.11,143.07,90.57,26.97,28.32,26.95,29.0,10.0,263.0,82.0,126.0,471.0,66.0,27.0,30.0,3.0,56.0,5.0,109.0,118.0,236.0,318.0,12.0,25.0,10.0,109.0,44.0,39.0,224.0,96.0,25.0,7.64,11.32,9.35,6.0,12.0,9.0,469.06,345.0,344.8,19.0,4.42,6.03,4.66,28.08,27.95,27.32,1844.0,422.0,146.0,247.0,1029.0,224.0,282.0,311.0,1027.0,10.0,9.0,204405.0,25.0,55.0,25.0,38.0,1058.17,117.81,109.98,117.81,109.96,1048.0,386.0,476.0,1910.0,102.0,124.0,14.0,953.0,351.0,130.0,27.73,43.11,46.97,23.0,33.0,46.0,1905.34,1434.0,1432.61,19.54,24.13,24.56,112.79,112.57,108.5,727.55,77.59,74.96,78.41,75.73,731.0,258.0,340.0,1329.0,82.0,65.0,14.0,685.0,218.0,86.0,21.45,26.98,29.17,27.0,28.0,27.0,1347.82,989.0,1001.07,10.36,13.27,13.27,74.67,75.37,73.92,175.38,198.74,3187.0,3473.0,165.0,9323.0,67.0
3,8477952,2023,2023-06-28,562.3068,28.0,26877.0,504.0,6.81,0.52,0.45,0.46,0.47,0.46,0.48,139.0,39.69,6.81,2.85,8.1,1.23,20.22,13.79,6.6,6.81,6.59,5.0,4.0,35.0,18.0,12.0,65.0,16.0,7.0,5.0,1.0,2.0,0.0,21.0,18.0,28.0,46.0,6.0,12.0,10.0,49.0,6.0,12.0,29.0,14.0,10.0,1.07,1.73,4.02,1.0,2.0,4.0,65.15,53.0,53.38,3.0,0.68,1.01,1.85,5.64,5.66,5.58,504.0,95.0,54.0,88.0,267.0,69.0,76.0,68.0,291.0,10.0,16.0,74917.0,12.0,12.0,6.0,15.0,189.2,21.55,20.9,21.64,20.98,189.0,75.0,104.0,368.0,23.0,17.0,2.0,189.0,51.0,24.0,5.53,5.87,10.14,7.0,5.0,11.0,370.63,264.0,266.33,3.12,3.48,3.48,21.19,21.29,20.87,221.41,20.05,19.63,20.19,19.77,205.0,111.0,111.0,427.0,14.0,21.0,2.0,243.0,59.0,14.0,7.2,7.32,5.53,5.0,5.0,4.0,425.03,316.0,313.93,3.19,2.47,2.47,20.77,20.86,20.65,52.48,64.59,1095.0,1248.0,190.0,10019.0,70.0
4,8474141,2023,2023-06-28,620.3704,73.0,84572.0,1468.0,38.17,0.49,0.42,0.5,0.42,0.51,0.43,162.0,214.86,18.08,14.91,49.62,7.06,123.37,82.96,17.52,17.78,17.23,20.0,16.0,227.0,69.0,75.0,371.0,57.0,21.0,11.0,2.0,54.0,4.0,83.0,123.0,206.0,275.0,8.0,16.0,1.0,13.0,31.0,61.0,237.0,44.0,15.0,7.15,5.47,5.47,12.0,4.0,5.0,365.39,296.0,291.48,22.0,3.4,3.31,3.4,18.08,17.82,17.5,1468.0,332.0,112.0,225.0,799.0,139.0,234.0,244.0,851.0,1.0,1.0,181287.0,16.0,16.0,8.0,19.0,769.49,80.16,76.67,79.72,76.24,774.0,280.0,296.0,1350.0,89.0,63.0,14.0,756.0,204.0,94.0,21.66,25.36,33.14,28.0,28.0,33.0,1335.83,1054.0,1044.89,13.49,13.84,14.0,79.66,79.17,76.66,732.19,84.89,80.61,86.05,81.75,731.0,266.0,329.0,1326.0,76.0,75.0,14.0,678.0,216.0,103.0,20.66,27.8,36.43,21.0,24.0,31.0,1354.47,997.0,1017.09,10.43,18.11,18.08,77.24,78.21,76.26,115.66,160.46,2319.0,3156.0,177.0,12639.0,70.0
5,8477946,2023,2023-06-28,653.95325,80.0,93867.0,1814.0,71.84,0.54,0.44,0.54,0.44,0.54,0.44,142.0,252.74,27.39,17.99,53.16,8.55,140.81,100.1,26.65,27.36,26.63,24.0,23.0,244.0,104.0,117.0,465.0,79.0,32.0,25.0,4.0,43.0,9.0,100.0,139.0,212.0,316.0,17.0,35.0,737.0,47.0,56.0,47.0,265.0,57.0,26.0,8.46,6.71,12.21,9.0,9.0,14.0,462.11,348.0,346.78,14.0,4.31,5.31,4.5,27.2,27.16,26.53,1814.0,332.0,265.0,291.0,926.0,237.0,240.0,330.0,1007.0,737.0,618.0,197928.0,35.0,44.0,23.0,27.0,919.48,101.19,96.5,101.09,96.4,934.0,336.0,402.0,1672.0,115.0,85.0,11.0,920.0,240.0,110.0,27.24,28.46,45.49,39.0,30.0,46.0,1662.84,1270.0,1265.17,15.53,19.42,19.3,97.42,97.29,94.67,760.74,84.64,79.88,84.66,79.94,780.0,285.0,363.0,1428.0,100.0,63.0,16.0,766.0,201.0,98.0,23.29,24.07,37.28,41.0,24.0,35.0,1437.36,1065.0,1070.52,12.23,13.9,13.92,82.95,83.05,79.38,124.09,157.3,2535.0,3289.0,198.0,9829.0,73.0
6,8479992,2023,2023-06-28,569.00446,56.0,50698.0,1165.0,24.78,0.49,0.5,0.43,0.49,0.44,0.5,382.0,91.18,14.92,7.4,18.28,2.9,44.37,33.13,14.27,14.88,14.25,13.0,6.0,88.0,33.0,29.0,150.0,29.0,10.0,14.0,1.0,14.0,1.0,47.0,35.0,78.0,111.0,20.0,43.0,203.0,119.0,18.0,8.0,64.0,41.0,16.0,2.53,5.36,7.02,3.0,2.0,5.0,149.79,121.0,121.37,3.0,1.66,3.91,2.5,14.08,14.09,13.97,1165.0,156.0,187.0,213.0,609.0,153.0,141.0,163.0,708.0,203.0,195.0,153884.0,43.0,57.0,26.0,48.0,370.72,44.02,41.13,44.06,41.18,364.0,146.0,179.0,689.0,43.0,40.0,7.0,356.0,98.0,56.0,10.55,11.77,21.7,17.0,9.0,17.0,685.0,510.0,507.77,5.83,11.82,11.82,38.03,38.06,37.21,462.23,46.2,42.17,46.3,42.26,456.0,196.0,253.0,905.0,51.0,45.0,8.0,501.0,106.0,45.0,15.46,12.75,18.0,22.0,14.0,15.0,902.26,652.0,649.92,7.57,8.37,8.37,45.41,45.36,41.8,120.6,122.41,2331.0,2411.0,221.0,8838.0,78.0
7,8482078,2023,2023-06-28,607.96497,74.0,77149.0,1498.0,33.78,0.55,0.45,0.56,0.44,0.55,0.45,317.0,126.13,16.11,9.66,26.73,4.25,69.35,47.89,15.29,16.01,15.18,12.0,16.0,134.0,40.0,71.0,245.0,45.0,17.0,12.0,2.0,19.0,3.0,63.0,60.0,117.0,157.0,11.0,24.0,5.0,43.0,33.0,27.0,108.0,48.0,18.0,3.58,5.89,6.65,4.0,7.0,6.0,243.86,174.0,172.82,7.0,2.2,3.83,3.77,14.54,14.47,14.11,1498.0,278.0,151.0,272.0,797.0,211.0,185.0,235.0,867.0,5.0,12.0,192746.0,24.0,44.0,22.0,20.0,698.59,70.43,66.76,70.51,66.83,703.0,266.0,355.0,1324.0,75.0,63.0,7.0,724.0,177.0,68.0,21.8,21.51,27.12,33.0,19.0,23.0,1319.45,969.0,966.9,11.94,14.37,14.37,68.01,68.0,65.9,572.6,57.9,54.55,58.2,54.89,577.0,221.0,260.0,1058.0,61.0,57.0,8.0,581.0,150.0,67.0,17.29,18.46,22.15,23.0,22.0,16.0,1074.82,798.0,809.64,7.99,11.05,11.07,54.83,55.21,53.21,135.69,163.86,2568.0,3222.0,182.0,7762.0,71.0
8,8480813,2023,2023-06-28,563.80414,81.0,62091.0,1322.0,10.9,0.45,0.49,0.45,0.48,0.46,0.48,736.0,77.66,8.31,5.46,17.13,2.38,41.11,30.61,8.18,8.22,8.09,6.0,5.0,85.0,20.0,41.0,146.0,20.0,9.0,4.0,1.0,22.0,1.0,29.0,40.0,76.0,96.0,15.0,30.0,277.0,152.0,30.0,17.0,71.0,26.0,8.0,2.54,3.17,2.59,4.0,3.0,2.0,144.98,105.0,104.28,8.0,1.16,0.57,1.67,7.8,7.77,7.73,1322.0,147.0,111.0,180.0,884.0,216.0,190.0,179.0,737.0,277.0,374.0,233304.0,30.0,26.0,13.0,44.0,422.48,36.39,35.6,36.35,35.58,415.0,172.0,209.0,796.0,36.0,35.0,4.0,450.0,104.0,33.0,12.64,12.66,11.08,10.0,18.0,8.0,787.15,587.0,583.32,5.78,7.92,7.69,34.47,34.51,34.15,499.5,44.72,43.27,45.04,43.56,492.0,210.0,269.0,971.0,50.0,51.0,11.0,549.0,105.0,48.0,16.13,13.5,15.07,22.0,14.0,14.0,985.03,702.0,709.98,7.05,9.72,9.72,42.04,42.28,41.75,190.6,198.07,3450.0,3770.0,198.0,8567.0,73.0
9,8475279,2023,2023-06-28,531.5239,76.0,93975.0,1977.0,3.9,0.38,0.53,0.39,0.51,0.39,0.52,228.0,106.01,4.79,6.21,29.52,3.58,62.94,47.95,4.63,4.79,4.63,7.0,7.0,110.0,45.0,76.0,231.0,19.0,5.0,6.0,0.0,29.0,3.0,44.0,68.0,105.0,150.0,24.0,51.0,0.0,147.0,9.0,19.0,145.0,7.0,3.0,3.24,0.72,0.83,5.0,0.0,0.0,227.25,155.0,154.04,14.0,1.31,0.99,0.98,5.12,5.14,5.05,1977.0,177.0,330.0,303.0,1167.0,238.0,282.0,278.0,1179.0,0.0,0.0,183120.0,51.0,17.0,7.0,163.0,617.32,55.63,53.32,55.52,53.22,641.0,223.0,299.0,1163.0,56.0,52.0,8.0,661.0,141.0,62.0,18.79,16.84,20.0,25.0,17.0,14.0,1148.12,864.0,857.0,8.5,12.47,12.47,51.66,51.54,50.65,948.41,91.25,85.37,91.42,85.56,920.0,407.0,510.0,1837.0,105.0,87.0,16.0,986.0,250.0,91.0,29.62,29.95,31.68,48.0,30.0,27.0,1845.22,1327.0,1331.77,15.06,16.05,16.05,90.25,90.3,85.41,155.6,140.77,2793.0,2681.0,219.0,11738.0,75.0
