,playerId,name,season_type,season,situation,action_date,gamescore_toi
0,8448208,Jaromir Jagr,playoffs,2015,all,2015-06-15,65.0
1,8464977,Dainius Zubrus,playoffs,2015,all,2015-06-15,11.0
2,8464989,Matt Cullen,playoffs,2015,all,2015-06-15,13.0
3,8465058,Michal Rozsival,playoffs,2015,all,2015-06-15,-1.0
4,8465978,Shawn Thornton,playoffs,2015,all,2015-06-15,3.0
5,8466138,Joe Thornton,playoffs,2015,all,2015-06-15,71.0
6,8466139,Patrick Marleau,playoffs,2015,all,2015-06-15,43.0
7,8466148,Marian Hossa,playoffs,2015,all,2015-06-15,108.0
8,8466251,Jason Chimera,playoffs,2015,all,2015-06-15,13.0
9,8466285,Brian Campbell,playoffs,2015,all,2015-06-15,32.0
10,8467096,Dan Boyle,playoffs,2015,all,2015-06-15,28.0
11,8467329,Vincent Lecavalier,playoffs,2015,all,2015-06-15,58.0
12,8467370,Mike Fisher,playoffs,2015,all,2015-06-15,67.0
13,8467371,Mike Ribeiro,playoffs,2015,all,2015-06-15,4.0
14,8467389,Brad Richards,playoffs,2015,all,2015-06-15,21.0
15,8467423,Shawn Horcoff,playoffs,2015,all,2015-06-15,22.0
16,8467452,Rob Scuderi,playoffs,2015,all,2015-06-15,16.0
17,8467514,Pavel Datsyuk,playoffs,2015,all,2015-06-15,42.0
18,8467890,Barret Jackman,playoffs,2015,all,2015-06-15,15.0
19,8468001,Derek MacKenzie,playoffs,2015,all,2015-06-15,23.0
20,8468083,Henrik Zetterberg,playoffs,2015,all,2015-06-15,53.0
21,8468208,Joel Ward,playoffs,2015,all,2015-06-15,46.0
22,8468309,Mark Streit,playoffs,2015,all,2015-06-15,-3.0
23,8468483,Marian Gaborik,playoffs,2015,all,2015-06-15,51.0
24,8468498,Brooks Orpik,playoffs,2015,all,2015-06-15,-7.0
25,8468505,Steve Ott,playoffs,2015,all,2015-06-15,-2.0
26,8468508,Justin Williams,playoffs,2015,all,2015-06-15,58.0
27,8468509,Niklas Kronwall,playoffs,2015,all,2015-06-15,33.0
28,8468513,Nick Schultz,playoffs,2015,all,2015-06-15,-3.0
29,8468526,Jarret Stoll,playoffs,2015,all,2015-06-15,-50.0
30,8468542,Paul Martin,playoffs,2015,all,2015-06-15,22.0
31,8468575,Dominic Moore,playoffs,2015,all,2015-06-15,33.0
