,playerId,name,season_type,situation,action_season,action_date,gamescore_toi
0,8459670,Kimmo Timonen,playoffs,all,2014,2014-06-13,504.0
1,8464989,Matt Cullen,playoffs,all,2014,2014-06-13,582.0
2,8465058,Michal Rozsival,playoffs,all,2014,2014-06-13,546.0
3,8465951,Matt Cooke,playoffs,all,2014,2014-06-13,582.0
4,8466148,Marian Hossa,playoffs,all,2014,2014-06-13,648.0
5,8466160,Brenden Morrow,playoffs,all,2014,2014-06-13,480.0
6,8466251,Jason Chimera,playoffs,all,2014,2014-06-13,610.0
7,8466378,Martin St. Louis,playoffs,all,2014,2014-06-13,566.0
8,8467096,Dan Boyle,playoffs,all,2014,2014-06-13,608.0
9,8467371,Mike Ribeiro,playoffs,all,2014,2014-06-13,612.0
10,8467389,Brad Richards,playoffs,all,2014,2014-06-13,614.0
11,8467400,Francois Beauchemin,playoffs,all,2014,2014-06-13,606.0
12,8467452,Rob Scuderi,playoffs,all,2014,2014-06-13,538.0
13,8467496,Andrei Markov,playoffs,all,2014,2014-06-13,554.0
14,8467514,Pavel Datsyuk,playoffs,all,2014,2014-06-13,644.0
15,8467875,Daniel Sedin,playoffs,all,2014,2014-06-13,730.0
16,8467876,Henrik Sedin,playoffs,all,2014,2014-06-13,714.0
17,8467890,Barret Jackman,playoffs,all,2014,2014-06-13,512.0
18,8467917,Jordan Leopold,playoffs,all,2014,2014-06-13,478.0
19,8468083,Henrik Zetterberg,playoffs,all,2014,2014-06-13,580.0
20,8468085,Radim Vrbata,playoffs,all,2014,2014-06-13,654.0
21,8468208,Joel Ward,playoffs,all,2014,2014-06-13,668.0
22,8468498,Brooks Orpik,playoffs,all,2014,2014-06-13,548.0
23,8468505,Steve Ott,playoffs,all,2014,2014-06-13,562.0
24,8468509,Niklas Kronwall,playoffs,all,2014,2014-06-13,506.0
25,8468535,Antoine Vermette,playoffs,all,2014,2014-06-13,596.0
26,8468542,Paul Martin,playoffs,all,2014,2014-06-13,536.0
27,8468575,Dominic Moore,playoffs,all,2014,2014-06-13,538.0
28,8468598,Lubomir Visnovsky,playoffs,all,2014,2014-06-13,688.0
29,8468674,Deryk Engelland,playoffs,all,2014,2014-06-13,504.0
30,8468700,Paul Gaustad,playoffs,all,2014,2014-06-13,432.0
31,8469459,Mikko Koivu,playoffs,all,2014,2014-06-13,548.0
32,8469465,Dan Hamhuis,playoffs,all,2014,2014-06-13,608.0
33,8469473,Marcel Goc,playoffs,all,2014,2014-06-13,560.0
34,8469476,Tim Gleason,playoffs,all,2014,2014-06-13,492.0
35,8469490,Tim Jackman,playoffs,all,2014,2014-06-13,502.0
36,8469501,Chris Thorburn,playoffs,all,2014,2014-06-13,430.0
37,8469506,Jason Pominville,playoffs,all,2014,2014-06-13,620.0
38,8469521,Tomas Plekanec,playoffs,all,2014,2014-06-13,600.0
39,8469544,Patrick Sharp,playoffs,all,2014,2014-06-13,656.0
40,8469598,Kevin Bieksa,playoffs,all,2014,2014-06-13,508.0
41,8469623,Marek Zidlicky,playoffs,all,2014,2014-06-13,570.0
42,8469639,Brooks Laich,playoffs,all,2014,2014-06-13,550.0
43,8469665,Johnny Oduya,playoffs,all,2014,2014-06-13,534.0
44,8469707,PA Parenteau,playoffs,all,2014,2014-06-13,586.0
45,8469760,Zbynek Michalek,playoffs,all,2014,2014-06-13,516.0
46,8469770,Dennis Wideman,playoffs,all,2014,2014-06-13,546.0
47,8470039,Tomas Fleischmann,playoffs,all,2014,2014-06-13,574.0
48,8470041,Rick Nash,playoffs,all,2014,2014-06-13,666.0
49,8470047,Valtteri Filppula,playoffs,all,2014,2014-06-13,580.0
50,8470104,Tom Gilbert,playoffs,all,2014,2014-06-13,592.0
51,8470144,Frans Nielsen,playoffs,all,2014,2014-06-13,544.0
52,8470151,Jay Bouwmeester,playoffs,all,2014,2014-06-13,534.0
53,8470162,Matt Stajan,playoffs,all,2014,2014-06-13,548.0
54,8470187,Johnny Boychuk,playoffs,all,2014,2014-06-13,586.0
55,8470201,Jiri Hudler,playoffs,all,2014,2014-06-13,592.0
56,8470257,Alexander Steen,playoffs,all,2014,2014-06-13,676.0
